a;c;gamma;iterate
0.188426333547833;0.2;2.0;139
0.188426333547833;0.2;2.0;140
0.188426333547833;0.2;2.0;141
0.188426333547833;0.2;2.0;142
0.188426333547833;0.2;2.0;143
0.188426333547833;0.2;2.0;144
0.188426333547833;0.2;2.0;145
0.188426333547833;0.2;2.0;146
0.188426333547833;0.2;2.0;147
0.188426333547833;0.2;2.0;148
0.188426333547833;0.2;2.0;149
0.188426333547833;0.2;2.0;150
0.188426333547833;0.2;2.0;151
0.188426333547833;0.2;2.0;152
0.188426333547833;0.2;2.0;153
0.188426333547833;0.2;2.0;154
0.188426333547833;0.2;2.0;155
0.188426333547833;0.2;2.0;156
0.188426333547833;0.2;2.0;157
0.188426333547833;0.2;2.0;158
0.188426333547833;0.2;2.0;159
0.188426333547833;0.2;2.0;160
0.188426333547833;0.2;2.0;161
0.188426333547833;0.2;2.0;162
0.188426333547833;0.2;2.0;163
0.188426333547833;0.2;2.0;164
0.188426333547833;0.2;2.0;165
0.188426333547833;0.2;2.0;166
0.188426333547833;0.2;2.0;167
0.188426333547833;0.2;2.0;168
0.188426333547833;0.2;2.0;169
0.188426333547833;0.2;2.0;170
0.188426333547833;0.2;2.0;171
0.188426333547833;0.2;2.0;172
0.188426333547833;0.2;2.0;173
0.188426333547833;0.2;2.0;174
0.188426333547833;0.2;2.0;175
0.188426333547833;0.2;2.0;176
0.188426333547833;0.2;2.0;177
0.188426333547833;0.2;2.0;178
0.188426333547833;0.2;2.0;179
0.188426333547833;0.2;2.0;180
0.188426333547833;0.2;2.0;181
0.188426333547833;0.2;2.0;182
0.188426333547833;0.2;2.0;183
0.188426333547833;0.2;2.0;184
0.188426333547833;0.2;2.0;185
0.188426333547833;0.2;2.0;186
0.188426333547833;0.2;2.0;187
0.188426333547833;0.2;2.0;188
0.188426333547833;0.2;2.0;189
0.188426333547833;0.2;2.0;190
0.188426333547833;0.2;2.0;191
0.188426333547833;0.2;2.0;192
0.188426333547833;0.2;2.0;193
0.188426333547833;0.2;2.0;194
0.188426333547833;0.2;2.0;195
0.188426333547833;0.2;2.0;196
0.188426333547833;0.2;2.0;197
0.188426333547833;0.2;2.0;198
0.188426333547833;0.2;2.0;199
0.188426333547833;0.2;2.0;200
0.188426333547833;0.2;2.0;201
0.188426333547833;0.2;2.0;202
0.188426333547833;0.2;2.0;203
0.188426333547833;0.2;2.0;204
0.188426333547833;0.2;2.0;205
0.188426333547833;0.2;2.0;206
0.188426333547833;0.2;2.0;207
0.188426333547833;0.2;2.0;208
0.188426333547833;0.2;2.0;209
0.188426333547833;0.2;2.0;210
0.188426333547833;0.2;2.0;211
0.188426333547833;0.2;2.0;212
0.188426333547833;0.2;2.0;213
0.188426333547833;0.2;2.0;214
0.188426333547833;0.2;2.0;215
0.188426333547833;0.2;2.0;216
0.188426333547833;0.2;2.0;217
0.188426333547833;0.2;2.0;218
0.188426333547833;0.2;2.0;219
0.188426333547833;0.2;2.0;220
0.188426333547833;0.2;2.0;221
0.188426333547833;0.2;2.0;222
0.188426333547833;0.2;2.0;223
0.188426333547833;0.2;2.0;224
0.188426333547833;0.2;2.0;225
0.188426333547833;0.2;2.0;226
0.188426333547833;0.2;2.0;227
0.188426333547833;0.2;2.0;228
0.188426333547833;0.2;2.0;229
0.188426333547833;0.2;2.0;230
0.188426333547833;0.2;2.0;231
0.188426333547833;0.2;2.0;232
0.188426333547833;0.2;2.0;233
0.188426333547833;0.2;2.0;234
0.188426333547833;0.2;2.0;235
0.188426333547833;0.2;2.0;236
0.188426333547833;0.2;2.0;237
0.188426333547833;0.2;2.0;238
0.188426333547833;0.2;2.0;239
0.188426333547833;0.2;2.0;240
0.188426333547833;0.2;2.0;241
0.188426333547833;0.2;2.0;242
0.188426333547833;0.2;2.0;243
0.188426333547833;0.2;2.0;244
0.188426333547833;0.2;2.0;245
0.188426333547833;0.2;2.0;246
0.188426333547833;0.2;2.0;247
0.188426333547833;0.2;2.0;248
0.188426333547833;0.2;2.0;249
0.188426333547833;0.2;2.0;250
0.188426333547833;0.2;2.0;251
0.188426333547833;0.2;2.0;252
0.188426333547833;0.2;2.0;253
0.188426333547833;0.2;2.0;254
0.188426333547833;0.2;2.0;255
0.188426333547833;0.2;2.0;256
0.188426333547833;0.2;2.0;257
0.188426333547833;0.2;2.0;258
0.188426333547833;0.2;2.0;259
0.188426333547833;0.2;2.0;260
0.188426333547833;0.2;2.0;261
0.188426333547833;0.2;2.0;262
0.188426333547833;0.2;2.0;263
0.188426333547833;0.2;2.0;264
0.188426333547833;0.2;2.0;265
0.188426333547833;0.2;2.0;266
0.188426333547833;0.2;2.0;267
0.188426333547833;0.2;2.0;268
0.188426333547833;0.2;2.0;269
0.188426333547833;0.2;2.0;270
0.188426333547833;0.2;2.0;271
0.188426333547833;0.2;2.0;272
0.188426333547833;0.2;2.0;273
0.188426333547833;0.2;2.0;274
0.188426333547833;0.2;2.0;275
0.188426333547833;0.2;2.0;276
0.188426333547833;0.2;2.0;277
0.188426333547833;0.2;2.0;278
0.188426333547833;0.2;2.0;279
