a;c;gamma;iterate
0.27284354180292963;0.02;0.19999999999999998;82
0.27284354180292963;0.02;0.19999999999999998;83
0.27284354180292963;0.02;0.19999999999999998;84
0.27284354180292963;0.02;0.19999999999999998;85
0.27284354180292963;0.02;0.19999999999999998;86
0.27284354180292963;0.02;0.19999999999999998;87
0.27284354180292963;0.02;0.19999999999999998;88
0.27284354180292963;0.02;0.19999999999999998;89
0.27284354180292963;0.02;0.19999999999999998;90
0.27284354180292963;0.02;0.19999999999999998;91
0.27284354180292963;0.02;0.19999999999999998;92
0.27284354180292963;0.02;0.19999999999999998;93
0.27284354180292963;0.02;0.19999999999999998;94
0.27284354180292963;0.02;0.19999999999999998;95
0.27284354180292963;0.02;0.19999999999999998;96
0.27284354180292963;0.02;0.19999999999999998;97
0.27284354180292963;0.02;0.19999999999999998;98
0.27284354180292963;0.02;0.19999999999999998;99
0.27284354180292963;0.02;0.19999999999999998;100
0.27284354180292963;0.02;0.19999999999999998;101
0.27284354180292963;0.02;0.19999999999999998;102
0.27284354180292963;0.02;0.19999999999999998;103
0.27284354180292963;0.02;0.19999999999999998;104
0.27284354180292963;0.02;0.19999999999999998;105
0.27284354180292963;0.02;0.19999999999999998;106
0.27284354180292963;0.02;0.19999999999999998;107
0.27284354180292963;0.02;0.19999999999999998;108
0.27284354180292963;0.02;0.19999999999999998;109
0.27284354180292963;0.02;0.19999999999999998;110
0.27284354180292963;0.02;0.19999999999999998;111
0.27284354180292963;0.02;0.19999999999999998;112
0.27284354180292963;0.02;0.19999999999999998;113
0.27284354180292963;0.02;0.19999999999999998;114
0.27284354180292963;0.02;0.19999999999999998;115
0.27284354180292963;0.02;0.19999999999999998;116
0.27284354180292963;0.02;0.19999999999999998;117
0.27284354180292963;0.02;0.19999999999999998;118
0.27284354180292963;0.02;0.19999999999999998;119
0.27284354180292963;0.02;0.19999999999999998;120
0.27284354180292963;0.02;0.19999999999999998;121
0.27284354180292963;0.02;0.19999999999999998;122
0.27284354180292963;0.02;0.19999999999999998;123
0.27284354180292963;0.02;0.19999999999999998;124
0.27284354180292963;0.02;0.19999999999999998;125
0.27284354180292963;0.02;0.19999999999999998;126
0.27284354180292963;0.02;0.19999999999999998;127
0.27284354180292963;0.02;0.19999999999999998;128
0.27284354180292963;0.02;0.19999999999999998;129
0.27284354180292963;0.02;0.19999999999999998;130
0.27284354180292963;0.02;0.19999999999999998;131
0.27284354180292963;0.02;0.19999999999999998;132
0.27284354180292963;0.02;0.19999999999999998;133
0.27284354180292963;0.02;0.19999999999999998;134
0.27284354180292963;0.02;0.19999999999999998;135
0.27284354180292963;0.02;0.19999999999999998;136
0.27284354180292963;0.02;0.19999999999999998;137
0.27284354180292963;0.02;0.19999999999999998;138
0.27284354180292963;0.02;0.19999999999999998;139
0.27284354180292963;0.02;0.19999999999999998;140
0.27284354180292963;0.02;0.19999999999999998;141
0.27284354180292963;0.02;0.19999999999999998;142
0.27284354180292963;0.02;0.19999999999999998;143
0.27284354180292963;0.02;0.19999999999999998;144
0.27284354180292963;0.02;0.19999999999999998;145
0.27284354180292963;0.02;0.19999999999999998;146
0.27284354180292963;0.02;0.19999999999999998;147
0.27284354180292963;0.02;0.19999999999999998;148
0.27284354180292963;0.02;0.19999999999999998;149
0.27284354180292963;0.02;0.19999999999999998;150
0.27284354180292963;0.02;0.19999999999999998;151
0.27284354180292963;0.02;0.19999999999999998;152
0.27284354180292963;0.02;0.19999999999999998;153
0.27284354180292963;0.02;0.19999999999999998;154
0.27284354180292963;0.02;0.19999999999999998;155
0.27284354180292963;0.02;0.19999999999999998;156
0.27284354180292963;0.02;0.19999999999999998;157
0.27284354180292963;0.02;0.19999999999999998;158
0.27284354180292963;0.02;0.19999999999999998;159
0.27284354180292963;0.02;0.19999999999999998;160
0.27284354180292963;0.02;0.19999999999999998;161
0.27284354180292963;0.02;0.19999999999999998;162
0.27284354180292963;0.02;0.19999999999999998;163
0.27284354180292963;0.02;0.19999999999999998;164
0.27284354180292963;0.02;0.19999999999999998;165
0.27284354180292963;0.02;0.19999999999999998;166
0.27284354180292963;0.02;0.19999999999999998;167
0.27284354180292963;0.02;0.19999999999999998;168
0.27284354180292963;0.02;0.19999999999999998;169
0.27284354180292963;0.02;0.19999999999999998;170
0.27284354180292963;0.02;0.19999999999999998;171
0.27284354180292963;0.02;0.19999999999999998;172
0.27284354180292963;0.02;0.19999999999999998;173
0.27284354180292963;0.02;0.19999999999999998;174
0.27284354180292963;0.02;0.19999999999999998;175
0.27284354180292963;0.02;0.19999999999999998;176
0.27284354180292963;0.02;0.19999999999999998;177
0.27284354180292963;0.02;0.19999999999999998;178
0.27284354180292963;0.02;0.19999999999999998;179
0.27284354180292963;0.02;0.19999999999999998;180
0.27284354180292963;0.02;0.19999999999999998;181
0.27284354180292963;0.02;0.19999999999999998;182
0.27284354180292963;0.02;0.19999999999999998;183
0.27284354180292963;0.02;0.19999999999999998;184
0.27284354180292963;0.02;0.19999999999999998;185
0.27284354180292963;0.02;0.19999999999999998;186
0.27284354180292963;0.02;0.19999999999999998;187
0.27284354180292963;0.02;0.19999999999999998;188
0.27284354180292963;0.02;0.19999999999999998;189
0.27284354180292963;0.02;0.19999999999999998;190
0.27284354180292963;0.02;0.19999999999999998;191
0.27284354180292963;0.02;0.19999999999999998;192
0.27284354180292963;0.02;0.19999999999999998;193
0.27284354180292963;0.02;0.19999999999999998;194
0.27284354180292963;0.02;0.19999999999999998;195
0.27284354180292963;0.02;0.19999999999999998;196
0.27284354180292963;0.02;0.19999999999999998;197
0.27284354180292963;0.02;0.19999999999999998;198
0.27284354180292963;0.02;0.19999999999999998;199
0.27284354180292963;0.02;0.19999999999999998;200
0.27284354180292963;0.02;0.19999999999999998;201
0.27284354180292963;0.02;0.19999999999999998;202
0.27284354180292963;0.02;0.19999999999999998;203
0.27284354180292963;0.02;0.19999999999999998;204
0.27284354180292963;0.02;0.19999999999999998;205
0.27284354180292963;0.02;0.19999999999999998;206
0.27284354180292963;0.02;0.19999999999999998;207
0.27284354180292963;0.02;0.19999999999999998;208
0.27284354180292963;0.02;0.19999999999999998;209
0.27284354180292963;0.02;0.19999999999999998;210
0.27284354180292963;0.02;0.19999999999999998;211
0.27284354180292963;0.02;0.19999999999999998;212
0.27284354180292963;0.02;0.19999999999999998;213
0.27284354180292963;0.02;0.19999999999999998;214
0.27284354180292963;0.02;0.19999999999999998;215
0.27284354180292963;0.02;0.19999999999999998;216
0.27284354180292963;0.02;0.19999999999999998;217
0.27284354180292963;0.02;0.19999999999999998;218
0.27284354180292963;0.02;0.19999999999999998;219
0.27284354180292963;0.02;0.19999999999999998;220
0.27284354180292963;0.02;0.19999999999999998;221
0.27284354180292963;0.02;0.19999999999999998;222
0.27284354180292963;0.02;0.19999999999999998;223
0.27284354180292963;0.02;0.19999999999999998;224
0.27284354180292963;0.02;0.19999999999999998;225
0.27284354180292963;0.02;0.19999999999999998;226
0.27284354180292963;0.02;0.19999999999999998;227
0.27284354180292963;0.02;0.19999999999999998;228
0.27284354180292963;0.02;0.19999999999999998;229
0.27284354180292963;0.02;0.19999999999999998;230
0.27284354180292963;0.02;0.19999999999999998;231
0.27284354180292963;0.02;0.19999999999999998;232
0.27284354180292963;0.02;0.19999999999999998;233
0.27284354180292963;0.02;0.19999999999999998;234
0.27284354180292963;0.02;0.19999999999999998;235
0.27284354180292963;0.02;0.19999999999999998;236
