kernel;acc;iter
:parameterupdate;0;416
rmmala_pos;0;417
:parameterupdate;1;417
rmmala_pos;0;418
:parameterupdate;0;418
rmmala_pos;0;419
:parameterupdate;1;419
rmmala_pos;0;420
:parameterupdate;0;420
rmmala_pos;1;421
:parameterupdate;0;421
rmmala_pos;1;422
:parameterupdate;1;422
rmmala_pos;1;423
:parameterupdate;0;423
rmmala_pos;1;424
:parameterupdate;0;424
rmmala_pos;1;425
:parameterupdate;0;425
rmmala_pos;1;426
:parameterupdate;0;426
rmmala_pos;1;427
:parameterupdate;1;427
rmmala_pos;0;428
:parameterupdate;1;428
rmmala_pos;1;429
:parameterupdate;1;429
rmmala_pos;1;430
:parameterupdate;1;430
rmmala_pos;1;431
:parameterupdate;1;431
rmmala_pos;1;432
:parameterupdate;1;432
rmmala_pos;0;433
:parameterupdate;0;433
rmmala_pos;1;434
:parameterupdate;0;434
rmmala_pos;1;435
:parameterupdate;0;435
rmmala_pos;1;436
:parameterupdate;0;436
rmmala_pos;0;437
:parameterupdate;0;437
rmmala_pos;0;438
:parameterupdate;1;438
rmmala_pos;1;439
:parameterupdate;0;439
rmmala_pos;1;440
:parameterupdate;0;440
rmmala_pos;1;441
:parameterupdate;1;441
rmmala_pos;0;442
:parameterupdate;1;442
rmmala_pos;1;443
:parameterupdate;1;443
rmmala_pos;1;444
:parameterupdate;1;444
rmmala_pos;0;445
:parameterupdate;0;445
rmmala_pos;1;446
:parameterupdate;0;446
rmmala_pos;0;447
:parameterupdate;1;447
rmmala_pos;0;448
:parameterupdate;1;448
rmmala_pos;0;449
:parameterupdate;1;449
rmmala_pos;0;450
:parameterupdate;0;450
rmmala_pos;1;451
:parameterupdate;1;451
rmmala_pos;1;452
:parameterupdate;0;452
rmmala_pos;1;453
:parameterupdate;1;453
rmmala_pos;1;454
:parameterupdate;1;454
rmmala_pos;1;455
:parameterupdate;1;455
rmmala_pos;1;456
:parameterupdate;1;456
rmmala_pos;1;457
:parameterupdate;1;457
rmmala_pos;0;458
:parameterupdate;0;458
rmmala_pos;1;459
:parameterupdate;1;459
rmmala_pos;0;460
:parameterupdate;0;460
rmmala_pos;1;461
:parameterupdate;1;461
rmmala_pos;1;462
:parameterupdate;1;462
rmmala_pos;1;463
:parameterupdate;0;463
rmmala_pos;1;464
:parameterupdate;0;464
rmmala_pos;1;465
:parameterupdate;1;465
rmmala_pos;1;466
:parameterupdate;0;466
rmmala_pos;1;467
:parameterupdate;0;467
rmmala_pos;0;468
:parameterupdate;0;468
rmmala_pos;0;469
:parameterupdate;0;469
rmmala_pos;1;470
:parameterupdate;1;470
rmmala_pos;1;471
:parameterupdate;1;471
rmmala_pos;1;472
:parameterupdate;0;472
rmmala_pos;0;473
:parameterupdate;0;473
rmmala_pos;1;474
:parameterupdate;0;474
rmmala_pos;1;475
:parameterupdate;0;475
rmmala_pos;0;476
:parameterupdate;1;476
rmmala_pos;0;477
:parameterupdate;1;477
rmmala_pos;0;478
:parameterupdate;0;478
rmmala_pos;1;479
:parameterupdate;1;479
rmmala_pos;0;480
:parameterupdate;0;480
rmmala_pos;1;481
:parameterupdate;1;481
rmmala_pos;0;482
:parameterupdate;0;482
rmmala_pos;1;483
